,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,ㅇㅇㅇ,이거브금뭔지아시는분,1,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
1,bb04****,짱짱,2,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
2,빵글이,극적인 상황을 위해 넣는건 좋지만 자연스럽지 못해 아쉽다,2,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
3,빵글이,이상하다 소설에는 둘이싸우고 호수가로와서 모조르고물에 빠뜨린것까지 자세히 설명하고 시체로떠오른것까지 묘사했는데 유모가죽인건 왜빠졌냐;;;,3,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
4,eco9****,스펜서부인 진짜 책으로 나왔으면 좋겠네. 정말 흥미진진하군!,7,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
5,나죽,마지막 장나라 표정 와 진짜 멋집니다.박수 짝짝짝  멋있어 멋있어 빠져들어요.,6,1,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
6,황후의품격,소녀천사얼굴 나라누나 사랑해,9,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
7,하이너프,써니 독기 품으니까 제대로네너무 멋져 ㅠ ㅠ ㅠ ㅠ ㅠ그니까 순둥순둥 하다고 막 대하지 말란 말야.....순둥이 한번 눈 뒤집히면 진짜 싹 다 쓸어버린다...,10,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
8,유유,장나라 사랑해ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,10,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
9,망고,오헬로도 설마 황제가 죽이는 건 아닐지..아님 고문하거나.. 아님 병원에 감금하거나..,9,5,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
10,냐냐냐나라랴랴,근데 이윤황태제는 이걸 알면서 지켜봤으면서 안도와준거...?싸움말리거나 구해주거나...,22,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
11,수연님,장나라 표정봐 ㅎㄷ ㄷ 연기태후 써니 황제 캐미오짐,15,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
12,수연님,엔딩맛집 ㅇㅈ,7,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
13,황후의품격,나라누나 미모 시간역행 실화? 수욜만을 기다리며 일욜을 버틴다,16,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
14,ㅇㅋ,오 불쌍한것...,12,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
15,sjsieeiennd,읽는 거 마지막에 오프새한컷? 이게 뭐예요...??? 뭐라 읽는건지 잘 안들려서 ㅠㅠ,7,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
16,보풀래기,ㄷㄷㄷㄷㄷ,4,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
17,라라랜드,나라씨 눈빛ㄷㄷ 악녀연기도 잘할거같아요 오랜만에 한복입은거 반갑네,19,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
18,과자먹고싶다,오랫만에 엔딩맛집 지난주는 잊고싶다,6,1,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
19,황후의품격,나라누나는 지금도 예쁘지만 웨딩 운널사 학교때가 레전드임 ㅋㅋㅋㅋㅋ,14,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
20,ㅇㅇㅇ,이거브금뭔지아시는분,1,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
21,bb04****,짱짱,2,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
22,빵글이,극적인 상황을 위해 넣는건 좋지만 자연스럽지 못해 아쉽다,2,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
23,빵글이,이상하다 소설에는 둘이싸우고 호수가로와서 모조르고물에 빠뜨린것까지 자세히 설명하고 시체로떠오른것까지 묘사했는데 유모가죽인건 왜빠졌냐;;;,3,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
24,eco9****,스펜서부인 진짜 책으로 나왔으면 좋겠네. 정말 흥미진진하군!,7,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
25,나죽,마지막 장나라 표정 와 진짜 멋집니다.박수 짝짝짝  멋있어 멋있어 빠져들어요.,6,1,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
26,황후의품격,소녀천사얼굴 나라누나 사랑해,9,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
27,하이너프,써니 독기 품으니까 제대로네너무 멋져 ㅠ ㅠ ㅠ ㅠ ㅠ그니까 순둥순둥 하다고 막 대하지 말란 말야.....순둥이 한번 눈 뒤집히면 진짜 싹 다 쓸어버린다...,10,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
28,유유,장나라 사랑해ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,10,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
29,망고,오헬로도 설마 황제가 죽이는 건 아닐지..아님 고문하거나.. 아님 병원에 감금하거나..,9,5,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
30,냐냐냐나라랴랴,근데 이윤황태제는 이걸 알면서 지켜봤으면서 안도와준거...?싸움말리거나 구해주거나...,22,0,"[소름 엔딩] 장나라, 신성록·신은경 향한 통쾌한 ‘사이다 역습’","재생수 478,286","2,666",355,17
